model_name,score
2wikimqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,14.94
2wikimqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,16.54
dureader_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,21.0
dureader_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,30.05
hotpotqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,14.81
hotpotqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,16.72
lcc_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,62.78
lcc_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,63.38
lsht_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,33.5
lsht_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,46.5
multi_news_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,25.74
multi_news_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,26.8
multifieldqa_en_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,24.18
multifieldqa_en_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,27.38
multifieldqa_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,18.46
multifieldqa_zh_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,20.08
musique_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,9.66
musique_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,11.38
narrativeqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,31.98
narrativeqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,32.02
passage_count_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,7.74
passage_count_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,6.91
passage_retrieval_en_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,97.64
passage_retrieval_en_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,97.73
passage_retrieval_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,0.0
passage_retrieval_zh_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,0.0
qasper_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,9.97
qasper_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,13.15
qmsum_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,23.52
qmsum_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,23.56
repobench-p_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,56.23
repobench-p_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,56.6
samsum_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,42.53
samsum_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,43.7
trec_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,45.5
trec_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,72.5
triviaqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,91.82
triviaqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,91.65
vcsum_ws32_st31.0_snks0_hopf_True_type_max_fused_len128000_gblFalse,14.51
vcsum_ws3_st20.0_snks0_hopf_False_type_max_fused_len128000_gblFalse,16.11
