model_name,score
2wikimqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,25.64
2wikimqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,27.12
dureader_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,22.02
dureader_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,30.44
hotpotqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,37.93
hotpotqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,43.02
lcc_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,54.51
lcc_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,55.1
lsht_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,21.5
lsht_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,39.5
multi_news_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,25.79
multi_news_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,27.09
multifieldqa_en_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,47.71
multifieldqa_en_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,49.23
multifieldqa_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,37.56
multifieldqa_zh_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,48.29
musique_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,15.13
musique_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,18.78
narrativeqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,23.97
narrativeqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,26.68
passage_count_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,3.22
passage_count_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,2.75
passage_retrieval_en_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,86.68
passage_retrieval_en_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,86.98
passage_retrieval_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,0.0
passage_retrieval_zh_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,0.0
qasper_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,29.43
qasper_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,32.99
qmsum_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,23.44
qmsum_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,24.15
repobench-p_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,50.86
repobench-p_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,53.14
samsum_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,42.01
samsum_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,42.85
trec_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,43.5
trec_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,71.0
triviaqa_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,85.94
triviaqa_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,86.23
vcsum_ws32_st31.0_snks0_hopf_True_type_max_fused_len32000_gblFalse,13.19
vcsum_ws3_st20.0_snks0_hopf_False_type_max_fused_len32000_gblFalse,15.22
