model_name,score
2wikimqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,22.22
2wikimqa_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,22.18
dureader_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,22.2
dureader_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,29.01
hotpotqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,17.12
hotpotqa_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,19.57
lcc_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,64.9
lcc_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,65.09
lsht_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,22.0
lsht_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,41.5
multi_news_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,24.77
multi_news_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,25.93
multifieldqa_en_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,38.2
multifieldqa_en_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,38.19
multifieldqa_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,44.82
multifieldqa_zh_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,48.91
musique_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,6.31
musique_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,6.03
narrativeqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,20.55
narrativeqa_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,20.72
passage_count_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,12.08
passage_count_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,11.65
passage_retrieval_en_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,67.17
passage_retrieval_en_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,63.33
passage_retrieval_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,0.0
passage_retrieval_zh_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,0.0
qasper_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,28.72
qasper_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,33.26
qmsum_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,22.13
qmsum_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,22.91
repobench-p_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,68.73
repobench-p_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,69.35
samsum_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,48.14
samsum_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,48.16
trec_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,44.5
trec_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,73.5
triviaqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,90.54
triviaqa_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,90.43
vcsum_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,11.42
vcsum_ws3_st20.0_snks0_hopf_False_type_max_fused_lenNone_gblFalse,13.43
