model_name,score
2wikimqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,20.96
dureader_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,21.35
hotpotqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,17.37
lcc_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,64.87
lsht_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,22.0
multi_news_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,24.97
multifieldqa_en_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,38.19
multifieldqa_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,44.91
musique_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,5.11
narrativeqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,14.48
passage_count_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,11.38
passage_retrieval_en_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,67.17
passage_retrieval_zh_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,0.0
qasper_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,28.95
qmsum_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,22.26
repobench-p_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,69.49
samsum_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,48.02
trec_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,44.5
triviaqa_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,90.29
vcsum_ws32_st31.0_snks0_hopf_True_type_max_fused_lenNone_gblFalse,10.7
